charger_pk,weekday,hour,사용빈도수
175,6,22,0.47115384615384615
175,6,23,0.3269230769230769
176,0,0,0.038461538461538464
176,0,1,0.04807692307692308
176,0,2,0.07692307692307693
176,0,3,0.057692307692307696
176,0,4,0.07692307692307693
176,0,5,0.0673076923076923
176,0,6,0.125
176,0,7,0.16346153846153846
176,0,8,0.3942307692307692
176,0,9,0.6153846153846154
176,0,10,0.625
176,0,11,0.5961538461538461
176,0,12,0.5673076923076923
176,0,13,0.7115384615384616
176,0,14,0.6442307692307693
176,0,15,0.7019230769230769
176,0,16,0.7884615384615384
176,0,17,0.8653846153846154
176,0,18,0.75
176,0,19,0.5769230769230769
176,0,20,0.5865384615384616
176,0,21,0.47115384615384615
176,0,22,0.4326923076923077
176,0,23,0.2403846153846154
176,1,0,0.1346153846153846
176,1,1,0.11538461538461539
176,1,2,0.08653846153846154
176,1,3,0.07692307692307693
176,1,4,0.0673076923076923
176,1,5,0.16346153846153846
176,1,6,0.23076923076923078
176,1,7,0.25
176,1,8,0.5192307692307693
176,1,9,0.6730769230769231
176,1,10,0.7307692307692307
176,1,11,0.7115384615384616
176,1,12,0.6826923076923077
176,1,13,0.6538461538461539
176,1,14,0.6634615384615384
176,1,15,0.8365384615384616
176,1,16,0.7884615384615384
176,1,17,0.7884615384615384
176,1,18,0.7211538461538461
176,1,19,0.6634615384615384
176,1,20,0.6634615384615384
176,1,21,0.5865384615384616
176,1,22,0.3557692307692308
176,1,23,0.25
176,2,0,0.1346153846153846
176,2,1,0.019230769230769232
176,2,2,0.057692307692307696
176,2,3,0.04807692307692308
176,2,4,0.04807692307692308
176,2,5,0.0673076923076923
176,2,6,0.09615384615384616
176,2,7,0.22115384615384615
176,2,8,0.47115384615384615
176,2,9,0.7019230769230769
176,2,10,0.6346153846153846
176,2,11,0.5480769230769231
176,2,12,0.5865384615384616
176,2,13,0.6153846153846154
176,2,14,0.6538461538461539
176,2,15,0.6826923076923077
176,2,16,0.75
176,2,17,0.8557692307692307
176,2,18,0.7980769230769231
176,2,19,0.5865384615384616
176,2,20,0.47115384615384615
176,2,21,0.5480769230769231
176,2,22,0.5192307692307693
176,2,23,0.3076923076923077
176,3,0,0.17307692307692307
176,3,1,0.0673076923076923
176,3,2,0.028846153846153848
176,3,3,0.04807692307692308
176,3,4,0.038461538461538464
176,3,5,0.08653846153846154
176,3,6,0.20192307692307693
176,3,7,0.3076923076923077
176,3,8,0.4423076923076923
176,3,9,0.5961538461538461
176,3,10,0.6442307692307693
176,3,11,0.7884615384615384
176,3,12,0.6057692307692307
176,3,13,0.6826923076923077
176,3,14,0.6826923076923077
176,3,15,0.8269230769230769
176,3,16,0.9038461538461539
176,3,17,0.8461538461538461
176,3,18,0.7884615384615384
176,3,19,0.6923076923076923
176,3,20,0.5769230769230769
176,3,21,0.49038461538461536
176,3,22,0.38461538461538464
176,3,23,0.23076923076923078
176,4,0,0.14423076923076922
176,4,1,0.04807692307692308
176,4,2,0.057692307692307696
176,4,3,0.038461538461538464
176,4,4,0.019230769230769232
176,4,5,0.057692307692307696
176,4,6,0.16346153846153846
176,4,7,0.2692307692307692
176,4,8,0.4326923076923077
176,4,9,0.7115384615384616
176,4,10,0.7115384615384616
176,4,11,0.6730769230769231
176,4,12,0.6538461538461539
176,4,13,0.7019230769230769
176,4,14,0.7403846153846154
176,4,15,0.7596153846153846
176,4,16,0.8557692307692307
176,4,17,0.9807692307692307
176,4,18,0.7884615384615384
176,4,19,0.625
176,4,20,0.49038461538461536
176,4,21,0.5096153846153846
176,4,22,0.375
176,4,23,0.2692307692307692
176,5,0,0.16346153846153846
176,5,1,0.18269230769230768
176,5,2,0.15384615384615385
176,5,3,0.11538461538461539
176,5,4,0.038461538461538464
176,5,5,0.14423076923076922
176,5,6,0.18269230769230768
176,5,7,0.34615384615384615
176,5,8,0.4519230769230769
176,5,9,0.40384615384615385
176,5,10,0.41346153846153844
176,5,11,0.49038461538461536
176,5,12,0.5480769230769231
176,5,13,0.625
176,5,14,0.6538461538461539
176,5,15,0.5576923076923077
176,5,16,0.5576923076923077
176,5,17,0.7019230769230769
176,5,18,0.5961538461538461
176,5,19,0.5096153846153846
176,5,20,0.40384615384615385
176,5,21,0.5192307692307693
176,5,22,0.4230769230769231
176,5,23,0.3269230769230769
176,6,0,0.19230769230769232
176,6,1,0.1346153846153846
176,6,2,0.09615384615384616
176,6,3,0.07692307692307693
176,6,4,0.057692307692307696
176,6,5,0.057692307692307696
176,6,6,0.11538461538461539
176,6,7,0.25961538461538464
176,6,8,0.25961538461538464
176,6,9,0.4326923076923077
176,6,10,0.6346153846153846
176,6,11,0.49038461538461536
176,6,12,0.5673076923076923
176,6,13,0.5961538461538461
176,6,14,0.5384615384615384
176,6,15,0.6538461538461539
176,6,16,0.6730769230769231
176,6,17,0.5096153846153846
176,6,18,0.6153846153846154
176,6,19,0.5288461538461539
176,6,20,0.5288461538461539
176,6,21,0.5096153846153846
176,6,22,0.2980769230769231
176,6,23,0.16346153846153846
177,0,0,0.028846153846153848
177,0,1,0.038461538461538464
177,0,2,0.019230769230769232
177,0,3,0.009615384615384616
177,0,4,0.038461538461538464
177,0,5,0.15384615384615385
177,0,6,0.23076923076923078
177,0,7,0.4519230769230769
177,0,8,0.75
177,0,9,0.8269230769230769
177,0,10,0.6826923076923077
177,0,11,0.7019230769230769
177,0,12,0.6538461538461539
177,0,13,0.5865384615384616
177,0,14,0.6346153846153846
177,0,15,0.6826923076923077
177,0,16,0.8076923076923077
177,0,17,0.8173076923076923
177,0,18,0.7980769230769231
177,0,19,0.6442307692307693
177,0,20,0.3942307692307692
177,0,21,0.36538461538461536
177,0,22,0.20192307692307693
177,0,23,0.125
177,1,0,0.07692307692307693
177,1,1,0.009615384615384616
177,1,2,0.009615384615384616
177,1,3,0.0
177,1,4,0.0
177,1,5,0.04807692307692308
177,1,6,0.25
177,1,7,0.4423076923076923
177,1,8,0.8269230769230769
177,1,9,0.8461538461538461
177,1,10,0.5576923076923077
177,1,11,0.49038461538461536
177,1,12,0.5769230769230769
177,1,13,0.625
177,1,14,0.5769230769230769
177,1,15,0.6538461538461539
177,1,16,0.7307692307692307
177,1,17,0.8365384615384616
177,1,18,0.7115384615384616
177,1,19,0.5673076923076923
177,1,20,0.4230769230769231
177,1,21,0.3557692307692308
177,1,22,0.2980769230769231
177,1,23,0.16346153846153846
177,2,0,0.1346153846153846
177,2,1,0.04807692307692308
177,2,2,0.009615384615384616
177,2,3,0.0
177,2,4,0.019230769230769232
177,2,5,0.08653846153846154
177,2,6,0.23076923076923078
177,2,7,0.46153846153846156
177,2,8,0.6153846153846154
177,2,9,0.5961538461538461
177,2,10,0.46153846153846156
177,2,11,0.5961538461538461
177,2,12,0.6442307692307693
177,2,13,0.6153846153846154
177,2,14,0.5865384615384616
177,2,15,0.5288461538461539
177,2,16,0.6730769230769231
177,2,17,0.8173076923076923
177,2,18,0.75
177,2,19,0.5
177,2,20,0.27884615384615385
177,2,21,0.25
177,2,22,0.22115384615384615
177,2,23,0.11538461538461539
177,3,0,0.0673076923076923
177,3,1,0.038461538461538464
177,3,2,0.019230769230769232
177,3,3,0.009615384615384616
177,3,4,0.038461538461538464
177,3,5,0.10576923076923077
177,3,6,0.2403846153846154
177,3,7,0.4807692307692308
177,3,8,0.7211538461538461
177,3,9,0.7788461538461539
177,3,10,0.6442307692307693
177,3,11,0.6153846153846154
177,3,12,0.625
177,3,13,0.6442307692307693
177,3,14,0.6442307692307693
177,3,15,0.5769230769230769
177,3,16,0.7115384615384616
177,3,17,0.8269230769230769
177,3,18,0.5865384615384616
177,3,19,0.4807692307692308
177,3,20,0.4807692307692308
177,3,21,0.33653846153846156
177,3,22,0.3076923076923077
177,3,23,0.11538461538461539
177,4,0,0.057692307692307696
177,4,1,0.009615384615384616
177,4,2,0.009615384615384616
177,4,3,0.009615384615384616
177,4,4,0.028846153846153848
177,4,5,0.0673076923076923
177,4,6,0.2403846153846154
177,4,7,0.4326923076923077
177,4,8,0.6346153846153846
177,4,9,0.7596153846153846
177,4,10,0.6826923076923077
177,4,11,0.6057692307692307
177,4,12,0.7019230769230769
177,4,13,0.5769230769230769
177,4,14,0.6346153846153846
177,4,15,0.7019230769230769
177,4,16,0.7019230769230769
177,4,17,0.7403846153846154
177,4,18,0.6346153846153846
177,4,19,0.46153846153846156
177,4,20,0.33653846153846156
177,4,21,0.25961538461538464
177,4,22,0.25
177,4,23,0.16346153846153846
177,5,0,0.14423076923076922
177,5,1,0.10576923076923077
177,5,2,0.019230769230769232
177,5,3,0.009615384615384616
177,5,4,0.009615384615384616
177,5,5,0.08653846153846154
177,5,6,0.17307692307692307
177,5,7,0.4423076923076923
177,5,8,0.5769230769230769
177,5,9,0.7692307692307693
177,5,10,0.7019230769230769
177,5,11,0.75
177,5,12,0.7307692307692307
177,5,13,0.6538461538461539
177,5,14,0.7211538461538461
177,5,15,0.6442307692307693
177,5,16,0.7596153846153846
177,5,17,0.6826923076923077
177,5,18,0.6923076923076923
177,5,19,0.4807692307692308
177,5,20,0.2980769230769231
177,5,21,0.28846153846153844
177,5,22,0.2403846153846154
177,5,23,0.15384615384615385
177,6,0,0.08653846153846154
177,6,1,0.0673076923076923
177,6,2,0.009615384615384616
177,6,3,0.0
177,6,4,0.009615384615384616
177,6,5,0.10576923076923077
177,6,6,0.22115384615384615
177,6,7,0.38461538461538464
177,6,8,0.6538461538461539
177,6,9,0.7019230769230769
177,6,10,0.6826923076923077
177,6,11,0.6634615384615384
177,6,12,0.5769230769230769
177,6,13,0.625
177,6,14,0.625
177,6,15,0.7115384615384616
177,6,16,0.5769230769230769
177,6,17,0.5480769230769231
177,6,18,0.5673076923076923
177,6,19,0.41346153846153844
177,6,20,0.41346153846153844
177,6,21,0.28846153846153844
177,6,22,0.16346153846153846
177,6,23,0.125
178,0,0,0.057692307692307696
178,0,1,0.04807692307692308
178,0,2,0.019230769230769232
178,0,3,0.009615384615384616
178,0,4,0.019230769230769232
178,0,5,0.0673076923076923
178,0,6,0.1346153846153846
178,0,7,0.16346153846153846
178,0,8,0.21153846153846154
178,0,9,0.3557692307692308
